latitude,longitude,landslide_size,landslide_trigger
35.98028292,-121.4896698,2,12
38.30948329,-81.55135565,3,15
14.0211,-87.2055,2,3
-5.4721,104.4842,2,3
49.8889,-119.3756,3,3
44.3551,17.9324,2,1
18.4293,121.0796,2,14
6.9667,122.1,2,3
49.1504,-122.4926,3,12
40.9213,-74.1772,3,3
42.0385,-122.599,4,15
31.7093,76.9297,2,3
25.0888,92.8551,2,3
19.7041,-72.4006,2,3
16.3071,121.9836,2,3
19.029,73.311,2,1
25.0666,98.8225,2,15
40.7134,-111.8224,3,12
35.724823,-83.491624,3,12
16.3533,120.6763,2,15
-1.630521,101.948985,3,5
45.5833,-122.7689,3,12
25.1784,106.0995,2,3
18.7632,73.347,3,1
-3.4751,102.7627,2,1
25.5007,93.9854,2,1
28.1011,-15.4314,2,3
28.1292,120.4216,2,14
-22.8919,-43.0882,5,3
-0.8994,119.8338,4,3
33.0648,-117.3049,3,3
40.2278,-80.6534,3,1
-35.047,173.7463,3,12
45.8249,-115.533,3,15
16.6803,98.3667,1,3
3.185783,101.677787,2,3
39.1904,-106.8152,3,12
50.71962,-1.797239,3,12
44.475,-123.4719,4,15
23.9034,120.9334,2,12
7.1623,80.4484,5,9
43.6559,-123.8707,4,15
13.74,-60.946,2,3
30.7362,78.44,2,3
22.76,113.247,2,3
35.7006,-82.8078,4,12
-3.644,126.6609,2,12
32.7571,77.4138,2,3
51.41495704,-117.4693413,3,12
41.0524,40.6167,2,3
7.35,-72.9667,2,3
37.2131,-112.9409,2,15
45.8015,-123.9657,4,15
39.31,-106.93,3,3
29.5659,80.3657,2,9
25.035,121.7648,2,14
25.79,113.02,1,3
47.5309,-122.2374,3,3
-37.5825,175.1538,2,3
27.6363,86.2326,2,1
44.8533,-93.4707,2,3
27.35,87.6667,2,3
21.375,-157.933,3,3
51.3255,-2.9339,2,12
15.5163,-88.9286,2,14
1.0053,34.4011,5,3
39.0787,-84.4386,3,15
44.1885,-124.114,4,15
-40.9324,145.6201,2,12
34.10563,71.157068,3,0
32.371,77.2468,2,3
27.8884,85.2118,2,3
25.48,94.1383,2,1
-20.54287599,29.26724852,1,12
11.4816,75.9957,2,3
44.7273,-124.0576,4,15
13.8464,-89.4502,3,12
38.18548947,-81.32476841,3,12
32.2108,76.2833,2,3
33.3307,75.1772,2,3
28.1981,81.8494,2,3
-12.15,-76.2333,2,3
65.0167,-16.7406,1,15
39.0821,-84.5245,2,15
37.9591,-122.3238,2,3
30.365,78.0641,2,3
-40.8834,172.7672,2,3
7.718,126.0436,4,3
34.0633,-118.7002,2,3
7.9015,123.7719,2,3
43.2334,-123.2294,4,15
14.0995,121.0985,2,14
29.9816,103.0129,2,3
26.0093,94.5238,2,9
10.8111,122.2686,1,14
44.8387,-119.7977,4,15
34.6758,73.0428,3,9
14.6297,-90.5025,2,12
10.06,-84.1841,3,12
38.7809,-106.2922,2,15
44.138,-124.1248,3,12
21.87861504,92.2676503,1,3
-5.7897,-35.1916,3,1
-22.4123,-42.9664,5,3
24.19467451,91.82931979,2,12
36.27317631,51.24268766,2,12
45.2004,-122.2189,3,15
47.6941,-115.9317,2,3
17.4303,73.5097,2,1
27.01145644,92.64204045,3,1
45.5598,-123.8924,4,15
12.34,122.56,2,12
12.8277,75.0772,2,3
37.4138,127.5183,2,3
53.98572214,-119.1365358,3,12
4.4376,-75.4976,2,3
44.5395,-123.3807,4,15
39.243182,-82.984168,3,3
47.7079,-117.4909,3,15
21.3354,95.0827,1,3
10.2976,123.8654,2,12
51.2585,-116.722,2,12
-7.2269,108.3289,2,3
42.2395,-124.3643,4,15
6.8241,100.9417,2,3
30.6594,79.5605,2,3
50.7386,-2.9034,2,3
-6.604482,105.7861277,1,3
50.7920428,-119.082588,3,12
28.3594,82.1279,2,3
16.9645,120.8147,2,14
8.9607,99.8832,2,3
4.9751,115.9243,3,3
32.5606,76.1206,3,1
-22.9312,-43.1854,2,3
43.4756,-110.7826,3,13
